"yr" "Mes" "Fecha" "Ciudad" "Temperatura"
1977 "octubre" "1977-10-01" "Bucaramanga" 21.1
1977 "noviembre" "1977-11-01" "Bucaramanga" 20.8
1977 "diciembre" "1977-12-01" "Bucaramanga" 21.4
1978 "enero" "1978-01-01" "Bucaramanga" 21.6
1978 "febrero" "1978-02-01" "Bucaramanga" 21.9
1978 "marzo" "1978-03-01" "Bucaramanga" 21.5
1978 "abril" "1978-04-01" "Bucaramanga" 21
1978 "mayo" "1978-05-01" "Bucaramanga" 21.3
1978 "junio" "1978-06-01" "Bucaramanga" 20.8
1978 "julio" "1978-07-01" "Bucaramanga" NA
1978 "agosto" "1978-08-01" "Bucaramanga" 21.5
1978 "septiembre" "1978-09-01" "Bucaramanga" 21
1978 "octubre" "1978-10-01" "Bucaramanga" 20.7
1978 "noviembre" "1978-11-01" "Bucaramanga" 21.1
1978 "diciembre" "1978-12-01" "Bucaramanga" 20.7
1979 "enero" "1979-01-01" "Bucaramanga" 21.2
1979 "febrero" "1979-02-01" "Bucaramanga" 21.5
1979 "marzo" "1979-03-01" "Bucaramanga" 21.6
1979 "abril" "1979-04-01" "Bucaramanga" 21.8
1979 "mayo" "1979-05-01" "Bucaramanga" 21.3
1979 "junio" "1979-06-01" "Bucaramanga" 21.1
1979 "julio" "1979-07-01" "Bucaramanga" 21.4
1979 "agosto" "1979-08-01" "Bucaramanga" 21.4
1979 "septiembre" "1979-09-01" "Bucaramanga" 21.1
1979 "octubre" "1979-10-01" "Bucaramanga" 21
1979 "noviembre" "1979-11-01" "Bucaramanga" 20.6
1979 "diciembre" "1979-12-01" "Bucaramanga" 20.8
1980 "enero" "1980-01-01" "Bucaramanga" 21.6
1980 "febrero" "1980-02-01" "Bucaramanga" 21.4
1980 "marzo" "1980-03-01" "Bucaramanga" 22.9
1980 "abril" "1980-04-01" "Bucaramanga" 21.9
1980 "mayo" "1980-05-01" "Bucaramanga" 21.8
1980 "junio" "1980-06-01" "Bucaramanga" 22
1980 "julio" "1980-07-01" "Bucaramanga" 21.7
1980 "agosto" "1980-08-01" "Bucaramanga" 21.5
1980 "septiembre" "1980-09-01" "Bucaramanga" 21.7
1980 "octubre" "1980-10-01" "Bucaramanga" 21.1
1980 "noviembre" "1980-11-01" "Bucaramanga" 20.8
1980 "diciembre" "1980-12-01" "Bucaramanga" 20.8
1981 "enero" "1981-01-01" "Bucaramanga" 20.7
1981 "febrero" "1981-02-01" "Bucaramanga" 21.6
1981 "marzo" "1981-03-01" "Bucaramanga" 21.7
1981 "abril" "1981-04-01" "Bucaramanga" 21.4
1981 "mayo" "1981-05-01" "Bucaramanga" 21.2
1981 "junio" "1981-06-01" "Bucaramanga" 21.3
1981 "julio" "1981-07-01" "Bucaramanga" 21.3
